Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Germany,2017,DDoS,Telecommunications,15.01,406483,Insider,Weak Passwords,Antivirus,62
Brazil,2018,SQL Injection,IT,98.38,661583,Insider,Social Engineering,Encryption,30
Russia,2015,SQL Injection,Education,23.49,642834,Unknown,Weak Passwords,Antivirus,34
Brazil,2017,Ransomware,IT,9.43,493087,Hacker Group,Unpatched Software,Encryption,44
Brazil,2021,Man-in-the-Middle,IT,97.37,966570,Nation-state,Weak Passwords,Antivirus,32
Russia,2022,Phishing,Telecommunications,73.26,687383,Nation-state,Weak Passwords,VPN,8
Germany,2020,Phishing,Retail,78.84,733304,Unknown,Weak Passwords,VPN,19
India,2023,Ransomware,Telecommunications,3.51,661681,Hacker Group,Weak Passwords,AI-based Detection,14
France,2020,SQL Injection,IT,25.32,644538,Unknown,Social Engineering,Antivirus,57
Germany,2015,Phishing,Banking,58.78,861637,Unknown,Social Engineering,VPN,15
Brazil,2016,SQL Injection,Telecommunications,73.76,393189,Unknown,Zero-day,Antivirus,37
France,2022,SQL Injection,Healthcare,27.06,999545,Hacker Group,Social Engineering,Encryption,47
UK,2021,SQL Injection,IT,77.82,935572,Hacker Group,Social Engineering,Encryption,61
France,2016,Ransomware,IT,55.99,724608,Hacker Group,Social Engineering,Antivirus,21
Brazil,2024,DDoS,Banking,55.73,750979,Unknown,Social Engineering,AI-based Detection,30
India,2017,Malware,Telecommunications,7.44,552358,Nation-state,Weak Passwords,AI-based Detection,42
Australia,2019,Phishing,Banking,37.07,902654,Insider,Social Engineering,Antivirus,9
UK,2022,Ransomware,Healthcare,75.67,413293,Hacker Group,Zero-day,Antivirus,27
India,2024,Malware,Retail,56.19,114357,Insider,Zero-day,AI-based Detection,58
USA,2018,Malware,Government,70.53,363432,Hacker Group,Zero-day,AI-based Detection,40
Japan,2016,SQL Injection,Telecommunications,63.77,304618,Unknown,Unpatched Software,Antivirus,54
India,2022,SQL Injection,IT,32.73,153154,Hacker Group,Zero-day,VPN,37
China,2022,Malware,Banking,21.87,741153,Insider,Social Engineering,Encryption,66
Japan,2024,Man-in-the-Middle,Healthcare,72.08,261230,Insider,Social Engineering,VPN,19
UK,2023,SQL Injection,Telecommunications,53.82,688014,Unknown,Zero-day,Encryption,18
Australia,2018,DDoS,Education,3.3,45027,Unknown,Social Engineering,Antivirus,68
Australia,2021,Malware,Banking,13.99,689681,Nation-state,Weak Passwords,AI-based Detection,62
Germany,2024,Malware,Government,93.49,702688,Hacker Group,Unpatched Software,Antivirus,39
China,2016,Man-in-the-Middle,Banking,97.28,86038,Insider,Weak Passwords,Encryption,19
Japan,2015,Malware,Education,17.19,899381,Insider,Unpatched Software,Firewall,66
India,2023,Malware,IT,54.21,157667,Insider,Weak Passwords,VPN,34
UK,2021,Malware,Government,64.28,643714,Nation-state,Weak Passwords,VPN,25
USA,2023,Ransomware,Education,71.31,3607,Insider,Zero-day,AI-based Detection,7
UK,2017,Phishing,Banking,52.31,259706,Hacker Group,Social Engineering,Antivirus,2
India,2021,Man-in-the-Middle,Retail,40.94,698921,Insider,Weak Passwords,Firewall,72
Brazil,2024,Ransomware,Government,32.21,482574,Nation-state,Unpatched Software,Firewall,22
France,2017,DDoS,IT,20.44,618269,Nation-state,Weak Passwords,VPN,48
Russia,2016,Ransomware,Government,59.66,854961,Unknown,Unpatched Software,AI-based Detection,7
Brazil,2019,SQL Injection,Education,56.33,595157,Unknown,Zero-day,Encryption,41
France,2016,SQL Injection,Government,2.24,813706,Hacker Group,Weak Passwords,VPN,54
Brazil,2018,DDoS,Telecommunications,82.05,322527,Nation-state,Weak Passwords,Firewall,46
China,2024,DDoS,Healthcare,11.92,557016,Unknown,Zero-day,Firewall,34
UK,2017,DDoS,Healthcare,54.83,966668,Hacker Group,Weak Passwords,AI-based Detection,15
France,2020,SQL Injection,Retail,36.17,813165,Nation-state,Unpatched Software,Antivirus,44
France,2018,SQL Injection,Government,80.06,400807,Unknown,Weak Passwords,Firewall,67
Brazil,2023,Man-in-the-Middle,Retail,74.85,549300,Hacker Group,Weak Passwords,Antivirus,26
Brazil,2021,Ransomware,Government,74.01,956893,Unknown,Social Engineering,Antivirus,49
India,2015,SQL Injection,Government,46.2,245370,Insider,Social Engineering,AI-based Detection,57
Brazil,2017,Malware,IT,9.59,912731,Nation-state,Zero-day,Firewall,4
USA,2017,Malware,Telecommunications,81.19,362085,Insider,Weak Passwords,VPN,5
Germany,2022,SQL Injection,Telecommunications,42.8,862664,Hacker Group,Zero-day,Firewall,44
China,2015,Ransomware,Telecommunications,32.65,313384,Insider,Social Engineering,Antivirus,51
Russia,2018,Malware,Banking,17.99,593009,Unknown,Social Engineering,Firewall,27
Germany,2023,SQL Injection,Banking,30.68,933754,Insider,Social Engineering,Firewall,36
Japan,2015,DDoS,Government,82.12,55055,Hacker Group,Unpatched Software,VPN,44
France,2020,SQL Injection,Education,94.63,481180,Hacker Group,Weak Passwords,AI-based Detection,10
Russia,2020,Man-in-the-Middle,Banking,54.03,110260,Unknown,Weak Passwords,VPN,66
USA,2020,DDoS,Government,10.54,741592,Insider,Social Engineering,VPN,69
Russia,2020,Phishing,Education,34.41,928026,Unknown,Social Engineering,VPN,5
Germany,2018,SQL Injection,Education,84.27,399014,Nation-state,Zero-day,Firewall,52
China,2018,Ransomware,Retail,35.08,42831,Hacker Group,Social Engineering,Antivirus,42
UK,2018,Man-in-the-Middle,Healthcare,45.11,545613,Insider,Unpatched Software,VPN,25
Australia,2023,Man-in-the-Middle,Retail,92.57,813789,Nation-state,Unpatched Software,Antivirus,27
UK,2015,Ransomware,Banking,13.49,345825,Hacker Group,Zero-day,AI-based Detection,6
UK,2016,Phishing,Education,8.42,29671,Insider,Unpatched Software,Encryption,61
Australia,2020,Phishing,Government,92.5,34011,Insider,Unpatched Software,Firewall,9
USA,2018,SQL Injection,Banking,63.8,341383,Nation-state,Weak Passwords,Antivirus,9
Japan,2020,Ransomware,Banking,40.86,565080,Unknown,Zero-day,Encryption,6
Germany,2019,Malware,Banking,79.24,862136,Hacker Group,Zero-day,VPN,44
Japan,2022,Man-in-the-Middle,Retail,37.15,241151,Hacker Group,Social Engineering,Antivirus,56
India,2024,Man-in-the-Middle,Government,62.06,321158,Insider,Zero-day,VPN,37
France,2023,Phishing,Education,31.03,472386,Nation-state,Zero-day,Encryption,24
UK,2015,Man-in-the-Middle,Healthcare,82.54,34240,Insider,Weak Passwords,Encryption,45
USA,2019,Malware,Government,34.4,98018,Insider,Zero-day,VPN,55
Japan,2024,Phishing,Education,72.2,555808,Unknown,Weak Passwords,AI-based Detection,4
UK,2021,SQL Injection,Healthcare,52.23,449333,Hacker Group,Unpatched Software,Encryption,39
UK,2024,Man-in-the-Middle,Retail,7.16,368618,Nation-state,Social Engineering,Firewall,22
France,2022,Man-in-the-Middle,IT,78.23,310175,Hacker Group,Unpatched Software,AI-based Detection,53
UK,2020,Phishing,Retail,25.1,986980,Nation-state,Zero-day,VPN,71
UK,2024,DDoS,Retail,88.54,518181,Insider,Zero-day,Antivirus,24
India,2015,Phishing,Retail,49.51,72782,Unknown,Zero-day,Encryption,63
Russia,2018,DDoS,Telecommunications,4.08,502842,Unknown,Zero-day,VPN,15
UK,2024,Phishing,Retail,89.31,376586,Unknown,Weak Passwords,AI-based Detection,51
Germany,2023,Phishing,Government,88.55,698597,Unknown,Social Engineering,Antivirus,66
Russia,2015,SQL Injection,Education,5.26,559195,Insider,Weak Passwords,VPN,52
India,2024,Ransomware,Retail,17.57,236253,Unknown,Social Engineering,Firewall,38
Brazil,2016,DDoS,Healthcare,8.01,534847,Nation-state,Zero-day,Firewall,3
Australia,2016,Malware,Retail,39.86,262611,Unknown,Social Engineering,Antivirus,33
Brazil,2021,SQL Injection,Telecommunications,11.61,848702,Unknown,Weak Passwords,Antivirus,48
Germany,2017,Man-in-the-Middle,Retail,73.98,609952,Hacker Group,Unpatched Software,VPN,7
Germany,2022,Man-in-the-Middle,IT,65.86,978868,Insider,Weak Passwords,AI-based Detection,39
Australia,2021,Ransomware,Retail,41.26,659734,Insider,Unpatched Software,Antivirus,54
Japan,2022,DDoS,Retail,64.38,88354,Nation-state,Social Engineering,AI-based Detection,52
Brazil,2022,Phishing,Banking,75.01,771434,Hacker Group,Social Engineering,AI-based Detection,38
Australia,2016,SQL Injection,Banking,1.73,91560,Hacker Group,Weak Passwords,AI-based Detection,35
UK,2021,Phishing,Healthcare,1.35,375292,Unknown,Unpatched Software,Firewall,48
Japan,2015,SQL Injection,Retail,70.88,43366,Unknown,Weak Passwords,AI-based Detection,43
India,2019,Ransomware,Telecommunications,32.08,429224,Unknown,Social Engineering,AI-based Detection,56
Brazil,2017,Phishing,Healthcare,68.99,526227,Hacker Group,Weak Passwords,VPN,62
Japan,2024,Man-in-the-Middle,Retail,9.77,621770,Insider,Unpatched Software,AI-based Detection,70
India,2019,DDoS,Telecommunications,14.53,857688,Insider,Zero-day,Antivirus,55
Brazil,2024,SQL Injection,Banking,33.06,644841,Insider,Weak Passwords,Antivirus,64
Russia,2024,Man-in-the-Middle,IT,67.61,242847,Unknown,Unpatched Software,VPN,37
China,2022,Man-in-the-Middle,IT,85.3,155225,Unknown,Weak Passwords,Antivirus,13
Japan,2017,Man-in-the-Middle,Banking,79.68,712646,Nation-state,Unpatched Software,AI-based Detection,50
UK,2022,Phishing,Government,61.87,298941,Unknown,Zero-day,Antivirus,13
Russia,2018,Man-in-the-Middle,Telecommunications,4.92,783480,Insider,Zero-day,AI-based Detection,55
Germany,2019,Phishing,Healthcare,99.97,950451,Hacker Group,Weak Passwords,AI-based Detection,29
China,2018,Malware,Education,95.42,917848,Insider,Social Engineering,VPN,30
Germany,2016,SQL Injection,Education,42.98,194633,Nation-state,Social Engineering,Antivirus,37
Australia,2016,Malware,Telecommunications,68.42,778844,Unknown,Zero-day,Encryption,65
France,2018,SQL Injection,Government,36.14,668774,Unknown,Social Engineering,Firewall,61
France,2023,SQL Injection,Healthcare,69.76,824351,Unknown,Zero-day,Firewall,17
UK,2020,Phishing,Healthcare,3.02,510974,Unknown,Weak Passwords,Encryption,16
Australia,2021,Man-in-the-Middle,Healthcare,86.29,404595,Unknown,Social Engineering,AI-based Detection,3
Germany,2022,SQL Injection,IT,6.31,742273,Hacker Group,Zero-day,AI-based Detection,67
China,2016,Phishing,IT,27.46,973388,Nation-state,Zero-day,AI-based Detection,63
China,2024,DDoS,Government,69.28,890675,Hacker Group,Unpatched Software,Firewall,5
Germany,2022,SQL Injection,Education,68.96,710896,Nation-state,Zero-day,Firewall,18
India,2023,SQL Injection,Retail,2.85,30883,Nation-state,Weak Passwords,AI-based Detection,51
UK,2020,SQL Injection,Government,53.76,153355,Unknown,Zero-day,Encryption,57
Japan,2020,DDoS,Healthcare,25.83,96706,Insider,Unpatched Software,Firewall,42
Australia,2016,SQL Injection,IT,43.76,959797,Nation-state,Social Engineering,Antivirus,32
China,2024,Phishing,Telecommunications,9.45,501864,Hacker Group,Unpatched Software,Encryption,12
Japan,2024,Man-in-the-Middle,IT,63.57,358626,Unknown,Weak Passwords,VPN,26
Japan,2017,Man-in-the-Middle,Healthcare,11.3,64472,Insider,Social Engineering,Firewall,43
India,2023,DDoS,Education,82.11,23683,Hacker Group,Weak Passwords,Encryption,69
USA,2017,Man-in-the-Middle,IT,5.21,22635,Unknown,Unpatched Software,AI-based Detection,8
UK,2017,SQL Injection,Government,98.75,894933,Insider,Weak Passwords,Antivirus,59
UK,2023,Malware,Banking,55.34,259176,Unknown,Unpatched Software,VPN,3
China,2022,Man-in-the-Middle,Banking,12.36,987115,Unknown,Social Engineering,Encryption,55
France,2022,DDoS,Healthcare,6.48,727601,Insider,Social Engineering,Encryption,50
UK,2021,Phishing,Retail,56.53,542850,Nation-state,Zero-day,Antivirus,41
India,2023,Ransomware,Education,41.15,352194,Nation-state,Unpatched Software,Firewall,10
France,2019,Malware,Healthcare,39.83,571521,Nation-state,Weak Passwords,Antivirus,8
Brazil,2023,SQL Injection,Healthcare,47.59,933271,Insider,Unpatched Software,Antivirus,30
Brazil,2022,Phishing,Banking,98.06,884502,Insider,Unpatched Software,AI-based Detection,55
China,2015,Ransomware,IT,57.27,762001,Nation-state,Social Engineering,VPN,67
France,2016,DDoS,Government,82.49,351330,Nation-state,Weak Passwords,VPN,57
Australia,2023,Malware,Healthcare,37.73,158107,Unknown,Unpatched Software,AI-based Detection,43
USA,2016,SQL Injection,Government,77.45,632319,Unknown,Weak Passwords,AI-based Detection,47
India,2017,DDoS,Government,75.52,352250,Insider,Zero-day,VPN,39
France,2018,Ransomware,Telecommunications,11.28,504165,Hacker Group,Zero-day,AI-based Detection,55
Brazil,2024,DDoS,Telecommunications,36.69,738981,Unknown,Social Engineering,VPN,45
UK,2021,Ransomware,Banking,79.33,555527,Unknown,Unpatched Software,Firewall,33
Russia,2019,SQL Injection,Banking,59.78,681856,Insider,Zero-day,VPN,52
Germany,2024,DDoS,Retail,38.65,197609,Nation-state,Social Engineering,VPN,15
USA,2018,Man-in-the-Middle,Banking,85.29,685291,Hacker Group,Social Engineering,Encryption,53
Japan,2024,Ransomware,Retail,37.49,835730,Insider,Zero-day,VPN,14
Germany,2016,Phishing,Education,48.57,907547,Unknown,Unpatched Software,Firewall,33
France,2019,Phishing,Retail,3.0,298096,Unknown,Social Engineering,Firewall,16
UK,2023,Phishing,Retail,33.06,18579,Unknown,Social Engineering,VPN,13
UK,2021,Malware,Education,70.9,490771,Nation-state,Weak Passwords,Antivirus,70
Germany,2020,Phishing,Healthcare,38.12,394577,Nation-state,Unpatched Software,Encryption,33
India,2021,DDoS,Telecommunications,35.19,155426,Nation-state,Zero-day,Firewall,16
Russia,2017,Ransomware,Education,88.9,444399,Insider,Zero-day,Encryption,38
Japan,2015,Man-in-the-Middle,Healthcare,7.96,770028,Unknown,Unpatched Software,Firewall,58
Brazil,2023,Ransomware,Retail,66.38,608520,Hacker Group,Zero-day,VPN,14
Australia,2020,DDoS,Healthcare,91.45,471113,Hacker Group,Unpatched Software,AI-based Detection,71
Germany,2015,Man-in-the-Middle,Retail,63.65,311253,Nation-state,Weak Passwords,AI-based Detection,36
Brazil,2023,DDoS,IT,84.19,390409,Insider,Zero-day,AI-based Detection,31
China,2015,SQL Injection,IT,28.35,604786,Unknown,Zero-day,VPN,34
China,2024,SQL Injection,Government,84.23,568377,Unknown,Social Engineering,Antivirus,38
Russia,2020,SQL Injection,Telecommunications,29.89,267678,Insider,Zero-day,AI-based Detection,13
Australia,2020,Malware,Education,5.95,592485,Insider,Weak Passwords,Firewall,10
USA,2018,DDoS,Government,84.85,639011,Insider,Weak Passwords,Firewall,26
China,2023,Man-in-the-Middle,Telecommunications,28.82,446243,Unknown,Zero-day,Firewall,66
Germany,2016,DDoS,Government,22.48,10438,Nation-state,Unpatched Software,Encryption,10
Brazil,2023,SQL Injection,IT,97.37,796195,Nation-state,Social Engineering,Firewall,20
Australia,2020,SQL Injection,Telecommunications,53.32,55392,Unknown,Zero-day,VPN,44
Germany,2016,DDoS,IT,63.11,579291,Hacker Group,Unpatched Software,Encryption,6
Germany,2023,Malware,Banking,70.19,791366,Unknown,Unpatched Software,Firewall,61
France,2022,Malware,IT,92.29,727826,Unknown,Weak Passwords,Encryption,63
Russia,2023,Malware,IT,98.07,608695,Nation-state,Unpatched Software,AI-based Detection,31
Australia,2019,SQL Injection,Retail,13.96,496667,Unknown,Zero-day,Antivirus,45
Japan,2024,Malware,Retail,56.9,353887,Unknown,Weak Passwords,Antivirus,59
China,2019,Ransomware,Banking,32.69,713584,Insider,Weak Passwords,Firewall,26
India,2017,DDoS,IT,70.09,417831,Unknown,Unpatched Software,Encryption,36
USA,2019,Ransomware,Banking,22.62,51219,Unknown,Zero-day,Encryption,36
UK,2017,Ransomware,Retail,47.91,153257,Insider,Zero-day,Encryption,59
Russia,2017,Phishing,Retail,20.58,768022,Unknown,Zero-day,VPN,64
France,2024,Phishing,Banking,26.29,314347,Hacker Group,Unpatched Software,Antivirus,28
Germany,2020,Phishing,IT,33.51,649406,Insider,Social Engineering,Firewall,27
Japan,2023,Phishing,Education,68.28,744595,Insider,Zero-day,Antivirus,44
Brazil,2021,DDoS,Banking,14.72,126781,Insider,Weak Passwords,Antivirus,32
France,2015,Phishing,Retail,44.29,427167,Insider,Unpatched Software,Encryption,11
Australia,2023,Ransomware,Retail,41.54,396865,Insider,Social Engineering,AI-based Detection,42
UK,2019,Phishing,Telecommunications,90.67,902952,Unknown,Weak Passwords,Encryption,8
USA,2023,Ransomware,IT,34.94,632075,Insider,Social Engineering,Encryption,64
France,2017,SQL Injection,Healthcare,83.73,728486,Nation-state,Social Engineering,Encryption,61
Australia,2018,DDoS,Education,64.62,109439,Insider,Zero-day,Antivirus,32
India,2018,Malware,Education,86.38,1174,Insider,Weak Passwords,VPN,23
Russia,2024,Phishing,Education,25.7,953987,Insider,Social Engineering,AI-based Detection,65
Brazil,2021,DDoS,Government,56.2,713309,Hacker Group,Zero-day,Antivirus,51
Russia,2021,DDoS,Healthcare,11.38,334528,Insider,Weak Passwords,VPN,5
USA,2016,Phishing,IT,92.53,219826,Nation-state,Social Engineering,Antivirus,38
USA,2015,SQL Injection,Telecommunications,88.6,916744,Nation-state,Social Engineering,Antivirus,47
USA,2017,Man-in-the-Middle,IT,30.4,568560,Hacker Group,Zero-day,AI-based Detection,49
UK,2019,Malware,Education,90.7,440178,Insider,Unpatched Software,VPN,15
Japan,2023,SQL Injection,Healthcare,45.38,172628,Insider,Weak Passwords,Encryption,4
USA,2022,Ransomware,Government,71.33,257989,Unknown,Unpatched Software,AI-based Detection,68
Japan,2021,Phishing,Healthcare,9.42,573560,Hacker Group,Social Engineering,Antivirus,9
Brazil,2018,Malware,Education,5.27,850056,Hacker Group,Weak Passwords,VPN,65
Australia,2018,DDoS,Retail,41.59,860119,Nation-state,Unpatched Software,Encryption,30
USA,2015,SQL Injection,Education,98.78,140958,Insider,Social Engineering,AI-based Detection,51
China,2015,DDoS,Telecommunications,61.24,965727,Nation-state,Zero-day,AI-based Detection,32
Russia,2015,Malware,Telecommunications,69.34,20269,Unknown,Social Engineering,VPN,36
Germany,2015,DDoS,Retail,7.84,323011,Nation-state,Social Engineering,Encryption,25
USA,2016,Ransomware,Retail,57.17,50321,Nation-state,Social Engineering,Antivirus,25
Russia,2020,DDoS,Banking,33.99,851863,Insider,Weak Passwords,Firewall,25
China,2024,DDoS,IT,22.45,704925,Unknown,Unpatched Software,AI-based Detection,52
France,2018,Ransomware,Banking,27.78,355077,Nation-state,Unpatched Software,VPN,65
Australia,2022,Malware,Education,47.12,866057,Unknown,Social Engineering,Antivirus,17
Germany,2016,SQL Injection,Telecommunications,48.77,169455,Insider,Zero-day,Antivirus,23
India,2023,SQL Injection,IT,92.35,380022,Unknown,Unpatched Software,Encryption,30
USA,2019,SQL Injection,Retail,88.98,898679,Insider,Zero-day,Firewall,35
Japan,2020,Ransomware,IT,61.69,704157,Unknown,Zero-day,Antivirus,42
Russia,2022,Malware,Telecommunications,84.57,262201,Nation-state,Weak Passwords,Encryption,54
Brazil,2021,DDoS,Telecommunications,67.87,683261,Hacker Group,Unpatched Software,Antivirus,13
USA,2022,Phishing,IT,59.7,382379,Nation-state,Unpatched Software,Firewall,2
Germany,2024,Phishing,Government,90.21,510657,Nation-state,Social Engineering,VPN,62
UK,2018,SQL Injection,Education,16.23,912558,Nation-state,Unpatched Software,Antivirus,69
